,losses_samp,batch_num_samp,method_samp,params_samp_0,params_samp_1,params_samp_2
49,2.8352593293572372,9,0,0.54,0.74,0.46
50,2.4333938688711405,10,1,0.2,0.04,0.06
51,2.5914034804867683,10,1,0.23,0.05,0.13
52,2.569563186056069,10,1,0.0,0.11,0.0
53,2.5629799363645454,10,1,0.81,0.04,0.01
54,2.44027375171534,10,1,0.08,0.08,0.0
55,2.421859856845885,11,2,0.23,0.09000000000000001,0.03
56,2.4709048659280546,11,2,0.010000000000000002,0.09000000000000001,0.049999999999999996
57,2.6395931697328723,11,2,0.25,0.04000000000000001,0.11
58,2.5464625576109277,11,2,0.1,0.0,0.06
59,2.643678668354933,11,2,0.06,0.03,0.05
60,3.046781325539416,12,0,1.09,0.18,0.66
61,2.710814733988943,12,0,0.0,0.52,0.86
62,2.7282559157780253,12,0,0.55,0.85,0.1
63,2.940729194549879,12,0,0.28,0.3,0.3
64,3.0308518009943284,12,0,0.8300000000000001,0.63,0.5
65,2.520171259069037,13,1,0.61,0.07,0.0
66,2.584164665374377,13,1,0.19,0.09,0.07
67,2.6706506450537457,13,1,0.29,0.05,0.05
68,2.620395871510677,13,1,0.12,0.07,0.02
69,2.652829902480157,13,1,0.18,0.0,0.04
70,2.595926951203727,14,2,0.28,0.04000000000000001,0.04
71,2.496810172195795,14,2,0.26,0.04000000000000001,0.03
72,2.606123996258083,14,2,0.16,0.09,0.049999999999999996
73,2.555791771330091,14,2,0.17,0.07,0.06
74,2.4621126924419974,14,2,0.13,0.12,0.0
75,2.7471469948129377,15,0,0.14,0.96,0.7000000000000001
76,3.000038520684455,15,0,0.6900000000000001,0.11,0.9
77,2.7255181858816746,15,0,0.42,0.44,0.14
78,2.9114109392047793,15,0,0.97,0.78,0.34
