table_type,horizon,variable,n_countries,mean_value,std_error
rmse_validation_var,8,Real Gov Consumption,21,4.247142857142857,0.515870573864794
rmse_validation_var,8,Real Exports,21,14.936666666666667,1.297698389885381
rmse_validation_var,8,Real Imports,21,17.580476190476194,1.3828751064686584
rmse_validation_var,8,Real GDP (EA),21,3.8885714285714283,0.06838715318748426
rmse_validation_var,8,GDP Deflator Growth (EA),21,0.35047619047619044,0.00145997235397675
rmse_validation_var,8,Euribor,21,0.4004761904761905,0.0047547565395682344
rmse_validation_var,12,Real GDP,21,8.608571428571429,0.8509426945380959
rmse_validation_var,12,GDP Deflator Growth,21,0.933809523809524,0.11988382509444041
rmse_validation_var,12,Real Gov Consumption,21,5.821428571428571,0.7959583279694644
rmse_validation_var,12,Real Exports,21,20.064761904761905,2.020378278942504
rmse_validation_var,12,Real Imports,21,23.729047619047623,2.1001842214844717
rmse_validation_var,12,Real GDP (EA),21,5.093333333333334,0.11115269063284358
rmse_validation_var,12,GDP Deflator Growth (EA),21,0.3576190476190476,0.0013636020060263207
rmse_validation_var,12,Euribor,21,0.5404761904761906,0.005915121480706823
